TÍTULO ORIGINAL,TÍTULO LOCAL,DATA EXIBIÇÃO,HORÁRIO DE EXIBIÇÃO,NÚMERO EPISÓDIO/CAPÍTULO,TEMPORADA,TÍTULO ORIGINAL DO EPISÓDIO,TÍTULO LOCAL DO EPISÓDIO,PRODUTOR,ANO DE PRODUÇÃO,DIRETOR,ORDEM EXECUÇÃO,TÍTULO DA OBRA MUSICAL,TIPO DE MÚSICA,AUTOR,INTERPRETE,SEGUNDOS,CLASSIFICAÇÃO,COMPOSITOR(ES) DAS TRILHAS DO PROGRAMA,EDITORA,GRAVADORA,ISRC,SUBMIX / TIPO DE ARRANJO,uncertain_match,Matched Title,Matched Identifier/ISWC,Uncertain Match,Eligibility Basis,__source_sheet
PIPOCA DA IVETE 2023,PIPOCA DA IVETE,01/10/2023,14:20:03,3,,,,GLOBO,202.0,DIREÇÃO ARTÍSTICA DE CRESO EDUARDO MACEDO E DIREÇÃO DE GÊNERO DE BONINHO,1,ACELERA AE,MUSICA COMERCIAL,"DAN KAMBAIAH,FABINHO O BRIAN,GIGI,MAGNO SANT ANNA",IVETE SANGALO,43,TA,,"IESSI MUSIC PUBLISHING,DECK,IESSI MUSIC PUBLISHING,IESSI MUSIC PUBLISHING",,,,,,,True,artist_alias,MusicCueSheet_TvAberta_Out23
PIPOCA DA IVETE 2023,PIPOCA DA IVETE,01/10/2023,14:20:03,3,,,,GLOBO,202.0,DIREÇÃO ARTÍSTICA DE CRESO EDUARDO MACEDO E DIREÇÃO DE GÊNERO DE BONINHO,35,PIPOCA DA IVETE,MUSICA COMERCIAL,"IVETE SANGALO,SAMIR TRINDADE",IVETE SANGALO,8,TB,,"IESSI MUSIC PUBLISHING,WARNER CHAPPELL",,,,,,,True,artist_alias,MusicCueSheet_TvAberta_Out23
PIPOCA DA IVETE 2023,PIPOCA DA IVETE,01/10/2023,14:20:03,3,,,,GLOBO,202.0,DIREÇÃO ARTÍSTICA DE CRESO EDUARDO MACEDO E DIREÇÃO DE GÊNERO DE BONINHO,36,PIPOCA DA IVETE,MUSICA COMERCIAL,"IVETE SANGALO,SAMIR TRINDADE",IVETE SANGALO,12,TB,,"IESSI MUSIC PUBLISHING,WARNER CHAPPELL",,,,,,,True,artist_alias,MusicCueSheet_TvAberta_Out23
PIPOCA DA IVETE 2023,PIPOCA DA IVETE,01/10/2023,14:20:03,3,,,,GLOBO,202.0,DIREÇÃO ARTÍSTICA DE CRESO EDUARDO MACEDO E DIREÇÃO DE GÊNERO DE BONINHO,70,PIPOCA DA IVETE,MUSICA COMERCIAL,"IVETE SANGALO,SAMIR TRINDADE",IVETE SANGALO,8,TB,,"IESSI MUSIC PUBLISHING,WARNER CHAPPELL",,,,,,,True,artist_alias,MusicCueSheet_TvAberta_Out23
PIPOCA DA IVETE 2023,PIPOCA DA IVETE,01/10/2023,14:20:03,3,,,,GLOBO,202.0,DIREÇÃO ARTÍSTICA DE CRESO EDUARDO MACEDO E DIREÇÃO DE GÊNERO DE BONINHO,71,PIPOCA DA IVETE,MUSICA COMERCIAL,"IVETE SANGALO,SAMIR TRINDADE",IVETE SANGALO,12,TB,,"IESSI MUSIC PUBLISHING,WARNER CHAPPELL",,,,,,,True,artist_alias,MusicCueSheet_TvAberta_Out23
PIPOCA DA IVETE 2023,PIPOCA DA IVETE,01/10/2023,14:20:03,3,,,,GLOBO,202.0,DIREÇÃO ARTÍSTICA DE CRESO EDUARDO MACEDO E DIREÇÃO DE GÊNERO DE BONINHO,117,O MUNDO VAI,MUSICA COMERCIAL,"IVETE SANGALO,NEILTON CERQUEIRA SANTOS,RADAMES VENANCIO,RAMON CRUZ,SAMIR TRINDADE,TIERRE COSTA",IVETE SANGALO,87,PE,,"IESSI MUSIC PUBLISHING,IESSI MUSIC PUBLISHING,IESSI MUSIC PUBLISHING,IESSI MUSIC PUBLISHING,IESSI MUSIC PUBLISHING,UNIVERSAL MGB",,,,,,,True,artist_alias,MusicCueSheet_TvAberta_Out23
CONVERSA COM BIAL,CONVERSA COM BIAL,03/10/2023,01:27:46,1253,,,,GLOBO,2023.0,MONICA ALMEIDA,3,QUER VOAR,MUSICA COMERCIAL,"EMICIDA,GROU,LORENTZ,MATUE,PALAZE,QUANTICH,RAEL",MATUE,66,DM,,"WARNER CHAPPELL,WARNER CHAPPELL,A DESCOBRIR,WARNER CHAPPELL,WARNER CHAPPELL,A DESCOBRIR,WARNER CHAPPELL",,,,,,,True,artist_alias,MusicCueSheet_TvAberta_Out23
CONVERSA COM BIAL,CONVERSA COM BIAL,03/10/2023,01:27:46,1253,,,,GLOBO,2023.0,MONICA ALMEIDA,4,CONEXOES DE MAFIA,MUSICA COMERCIAL,"GIBBO,MAKO,MATUE,RICH THE KID",MATUE,136,PE,,"SONY MUSIC PUBLISHING,A DESCOBRIR,WARNER CHAPPELL,A DESCOBRIR",,,,,,,True,artist_alias,MusicCueSheet_TvAberta_Out23
CONVERSA COM BIAL,CONVERSA COM BIAL,03/10/2023,01:27:46,1253,,,,GLOBO,2023.0,MONICA ALMEIDA,5,CONEXOES DE MAFIA,MUSICA COMERCIAL,"GIBBO,MAKO,MATUE,RICH THE KID",MATUE,17,DM,,"SONY MUSIC PUBLISHING,A DESCOBRIR,WARNER CHAPPELL,A DESCOBRIR",,,,,,,True,artist_alias,MusicCueSheet_TvAberta_Out23
CONVERSA COM BIAL,CONVERSA COM BIAL,03/10/2023,01:27:46,1253,,,,GLOBO,2023.0,MONICA ALMEIDA,6,ANOS LUZ,MUSICA COMERCIAL,MATUE,MATUE,19,DM,,WARNER CHAPPELL,,,,,,,True,artist_alias,MusicCueSheet_TvAberta_Out23
