title_supplier,artist,title_norm,author_norm,title_ref,author,author_norm_supplier,author_norm_ref,provider,file
Terremoto,"Gloria Groove,Lia Clark",terremoto,,TERREMOTO,T-307.297.647-3,"gloria groove,lia clark",t-307.297.647-3,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Vagabundo,Aretuza Lovi,vagabundo,,VAGABUNDO,T-303.761.712-8,aretuza lovi,t-303.761.712-8,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Vagabundo,Aretuza Lovi,vagabundo,,VAGABUNDO,,aretuza lovi,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Meu Mundo,Orochi,meu mundo,,MEU MUNDO,,orochi,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Reverse,Azzy,reverse,,REVERSE,,azzy,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Sereia,Orochi,sereia,,SEREIA,T-316.183.205-5,orochi,t-316.183.205-5,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Sereia,Orochi,sereia,,SEREIA,T-324.241.294-4,orochi,t-324.241.294-4,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Tanto Faz,Orochi,tanto faz,,TANTO FAZ,,orochi,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Agô,Majur,ago,,AGÔ,,majur,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Mob,Fenda,mob,,MOB,T-321.926.585-3,fenda,t-321.926.585-3,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Colombina,Ed Motta,colombina,,COLOMBINA,T-932.738.152-2,ed motta,t-932.738.152-2,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Fora Da Lei,Ed Motta,fora da lei,,FORA DA LEI,T-931.477.257-1,ed motta,t-931.477.257-1,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Fora Da Lei,Ed Motta,fora da lei,,FORA DA LEI,T-324.241.341-4,ed motta,t-324.241.341-4,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Deja Vu,Day,deja vu,,DÉJÀ VU,T-308.187.765-4,day,t-308.187.765-4,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Máscara,Day,mascara,,MÁSCARA,,day,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Teto De Vidro,Day,teto de vidro,,TETO DE VIDRO,T-321.537.364-7,day,t-321.537.364-7,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Terremoto,"Gloria Groove,Lia Clark",terremoto,,TERREMOTO,T-307.297.647-3,"gloria groove,lia clark",t-307.297.647-3,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Vagabundo,Aretuza Lovi,vagabundo,,VAGABUNDO,T-303.761.712-8,aretuza lovi,t-303.761.712-8,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Vagabundo,Aretuza Lovi,vagabundo,,VAGABUNDO,,aretuza lovi,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Meu Mundo,Orochi,meu mundo,,MEU MUNDO,,orochi,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Reverse,Azzy,reverse,,REVERSE,,azzy,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Sereia,Orochi,sereia,,SEREIA,T-316.183.205-5,orochi,t-316.183.205-5,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Sereia,Orochi,sereia,,SEREIA,T-324.241.294-4,orochi,t-324.241.294-4,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Tanto Faz,Orochi,tanto faz,,TANTO FAZ,,orochi,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Confesso,Ana Gabriela,confesso,,CONFESSO,T-324.068.646-4,ana gabriela,t-324.068.646-4,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Tudo E Mais Um Pouco,Ana Gabriela,tudo e mais um pouco,,TUDO E MAIS UM POUCO,T-040.427.533-7,ana gabriela,t-040.427.533-7,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Deja Vu,Day,deja vu,,DÉJÀ VU,T-308.187.765-4,day,t-308.187.765-4,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Máscara,Day,mascara,,MÁSCARA,,day,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Teto De Vidro,Day,teto de vidro,,TETO DE VIDRO,T-321.537.364-7,day,t-321.537.364-7,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Estações,Haikaiss,estacoes,,ESTACOES,T-307.587.838-1,haikaiss,t-307.587.838-1,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Estações,Haikaiss,estacoes,,ESTAÇÕES,T-332.348.889-3,haikaiss,t-332.348.889-3,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Gangorra,Haikaiss,gangorra,,GANGORRA,T-040.511.906-3,haikaiss,t-040.511.906-3,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Gangorra,Haikaiss,gangorra,,GANGORRA,,haikaiss,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Ninguém Ama Os Náufragos,Haikaiss,ninguem ama os naufragos,,NINGUÉM AMA OS NÁUFRAGOS,T-311.596.058-8,haikaiss,t-311.596.058-8,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Terremoto,"Gloria Groove,Lia Clark",terremoto,,TERREMOTO,T-307.297.647-3,"gloria groove,lia clark",t-307.297.647-3,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Vagabundo,Aretuza Lovi,vagabundo,,VAGABUNDO,T-303.761.712-8,aretuza lovi,t-303.761.712-8,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Vagabundo,Aretuza Lovi,vagabundo,,VAGABUNDO,,aretuza lovi,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Agô,Majur,ago,,AGÔ,,majur,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Mob,Fenda,mob,,MOB,T-321.926.585-3,fenda,t-321.926.585-3,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Delírio,Roberta Sá,delirio,,DELIRIO,T-301.566.979-7,roberta sa,t-301.566.979-7,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Colombina,Ed Motta,colombina,,COLOMBINA,T-932.738.152-2,ed motta,t-932.738.152-2,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Fora Da Lei,Ed Motta,fora da lei,,FORA DA LEI,T-931.477.257-1,ed motta,t-931.477.257-1,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Fora Da Lei,Ed Motta,fora da lei,,FORA DA LEI,T-324.241.341-4,ed motta,t-324.241.341-4,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Mob,Fenda,mob,,MOB,T-321.926.585-3,fenda,t-321.926.585-3,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Terremoto,"Gloria Groove,Lia Clark",terremoto,,TERREMOTO,T-307.297.647-3,"gloria groove,lia clark",t-307.297.647-3,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Vagabundo,Aretuza Lovi,vagabundo,,VAGABUNDO,T-303.761.712-8,aretuza lovi,t-303.761.712-8,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Vagabundo,Aretuza Lovi,vagabundo,,VAGABUNDO,,aretuza lovi,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Temporal,Marina Sena,temporal,,TEMPORAL,T-307.003.180-6,marina sena,t-307.003.180-6,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Me Chama,"Leo Gandelman,Lobão",me chama,,ME CHAMA,T-311.953.645-3,"leo gandelman,lobao",t-311.953.645-3,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
